ds,Store_ID,Product_ID,Category_Code,Region_Code,y,Price,Discount,Weather_Code,Promotion,Competitor_Pricing,Seasonality_Code
2022-01-01,1,1,0,0,127,33.5,20,1,0,29.69,2
2022-01-01,1,2,0,1,150,63.01,20,0,0,66.16,2
2022-01-01,1,3,0,3,65,27.99,10,0,1,31.32,1
2022-01-01,1,4,0,0,61,32.72,10,2,1,34.74,2
2022-01-01,1,5,0,2,14,73.64,0,0,0,68.95,1
2022-01-01,1,6,1,1,128,76.83,10,0,1,79.35,3
2022-01-01,1,7,1,2,97,34.16,10,1,1,36.55,3
2022-01-01,1,8,1,0,312,97.99,5,2,0,100.09,0
2022-01-01,1,9,1,3,175,20.74,10,2,0,17.66,2
2022-01-01,1,10,1,1,28,59.99,0,1,1,61.21,3
2022-01-01,1,11,1,1,150,58.53,10,0,1,61.42,0
2022-01-01,1,12,1,3,24,58.25,20,3,0,62.21,0
2022-01-01,1,13,1,1,42,43.6,0,2,0,46.31,0
2022-01-01,1,14,2,3,12,78.11,0,0,0,80.06,0
2022-01-01,1,15,2,0,369,92.99,15,3,0,95.8,3
2022-01-01,1,16,2,0,255,21.9,5,2,1,20.27,2
2022-01-01,1,17,2,3,246,21.07,20,0,0,16.49,3
2022-01-01,1,18,2,1,151,19.57,5,2,0,23.13,2
2022-01-01,1,19,2,2,257,73.28,10,2,0,77.26,3
2022-01-01,1,20,2,2,99,30.24,5,2,0,27.1,0
2022-01-01,2,1,0,1,104,32.8,20,0,1,30.78,0
2022-01-01,2,2,0,3,141,46.16,10,1,1,45.21,3
2022-01-01,2,3,0,2,182,20.46,20,3,1,22.0,0
2022-01-01,2,4,0,3,63,26.19,0,2,0,28.06,2
2022-01-01,2,5,0,3,156,83.29,20,1,0,80.64,2
2022-01-01,2,6,1,0,250,85.59,20,2,0,86.82,3
2022-01-01,2,7,1,3,393,91.13,5,0,0,93.33,1
2022-01-01,2,8,1,3,29,66.96,20,3,0,65.36,1
2022-01-01,2,9,1,1,9,81.29,5,1,1,82.06,3
