Customer ID,Age,Gender,Location,Region,Size,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
1,55,Male,Kentucky,South,L,Winter,3.1,Yes,Express,Yes,Yes,14,Venmo,Fortnightly
2,19,Male,Maine,North,L,Winter,3.1,Yes,Express,Yes,Yes,2,Cash,Fortnightly
3,50,Male,Massachusetts,East,S,Spring,3.1,Yes,Free Shipping,Yes,Yes,23,Credit Card,Weekly
4,21,Male,Rhode Island,East,M,Spring,3.5,Yes,Next Day Air,Yes,Yes,49,PayPal,Weekly
5,45,Male,Oregon,West,M,Spring,2.7,Yes,Free Shipping,Yes,Yes,31,PayPal,Annually
6,46,Male,Wyoming,West,M,Summer,2.9,Yes,Standard,Yes,Yes,14,Venmo,Weekly
7,63,Male,Montana,West,M,Autumn,3.2,Yes,Free Shipping,Yes,Yes,49,Cash,Quarterly
8,27,Male,Louisiana,South,L,Winter,3.2,Yes,Free Shipping,Yes,Yes,19,Credit Card,Weekly
9,26,Male,West Virginia,South,L,Summer,2.6,Yes,Express,Yes,Yes,8,Venmo,Annually
10,57,Male,Missouri,South,M,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,4,Cash,Quarterly
11,53,Male,Arkansas,South,L,Autumn,4.1,Yes,Store Pickup,Yes,Yes,26,Bank Transfer,Bi-Weekly
12,30,Male,Hawaii,West,S,Winter,4.9,Yes,Store Pickup,Yes,Yes,10,Bank Transfer,Fortnightly
13,61,Male,Delaware,East,M,Winter,4.5,Yes,Express,Yes,Yes,37,Venmo,Fortnightly
14,65,Male,New Hampshire,North,M,Spring,4.7,Yes,Express,Yes,Yes,31,PayPal,Weekly
15,64,Male,New York,East,L,Winter,4.7,Yes,Free Shipping,Yes,Yes,34,Debit Card,Weekly
16,64,Male,Rhode Island,East,M,Winter,2.8,Yes,Store Pickup,Yes,Yes,8,PayPal,Monthly
17,25,Male,Alabama,South,S,Spring,4.1,Yes,Next Day Air,Yes,Yes,44,Debit Card,Bi-Weekly
18,53,Male,Mississippi,South,XL,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,36,Venmo,Quarterly
