Sales ID,Date,Store ID,Product ID,Product_Name,Category,Region,Units Sold,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality,Customer ID
1,1/1/2022,1,1,Coat,Outerwear,North,127,33.5,20,Rainy,0,29.69,Autumn,2926
2,1/1/2022,1,2,Hoodie,Outerwear,South,150,63.01,20,Sunny,0,66.16,Autumn,1588
3,1/1/2022,1,3,Jacket,Outerwear,West,65,27.99,10,Sunny,1,31.32,Summer,3338
4,1/1/2022,1,4,Overcoat,Outerwear,North,61,32.72,10,Cloudy,1,34.74,Autumn,1244
5,1/1/2022,1,5,Blazer,Outerwear,East,14,73.64,0,Sunny,0,68.95,Summer,3722
6,1/1/2022,1,6,Blouse,Clothing,South,128,76.83,10,Sunny,1,79.35,Winter,2980
7,1/1/2022,1,7,Shirt,Clothing,East,97,34.16,10,Rainy,1,36.55,Winter,337
8,1/1/2022,1,8,Jeans,Clothing,North,312,97.99,5,Cloudy,0,100.09,Spring,817
9,1/1/2022,1,9,Trousers,Clothing,West,175,20.74,10,Cloudy,0,17.66,Autumn,1522
10,1/1/2022,1,10,T-shirt,Clothing,South,28,59.99,0,Rainy,1,61.21,Winter,3095
11,1/1/2022,1,11,Shorts,Clothing,South,150,58.53,10,Sunny,1,61.42,Spring,918
12,1/1/2022,1,12,Skirt,Clothing,West,24,58.25,20,Snowy,0,62.21,Spring,1547
13,1/1/2022,1,13,Saree,Clothing,South,42,43.6,0,Cloudy,0,46.31,Spring,1833
14,1/1/2022,1,14,Bag,Accessories,West,12,78.11,0,Sunny,0,80.06,Spring,3013
15,1/1/2022,1,15,Belt,Accessories,North,369,92.99,15,Snowy,0,95.8,Winter,443
16,1/1/2022,1,16,Gloves,Accessories,North,255,21.9,5,Cloudy,1,20.27,Autumn,496
17,1/1/2022,1,17,Fragrances,Accessories,West,246,21.07,20,Sunny,0,16.49,Winter,328
18,1/1/2022,1,18,Wristwear,Accessories,South,151,19.57,5,Cloudy,0,23.13,Autumn,1312
19,1/1/2022,1,19,Sunglasses,Accessories,East,257,73.28,10,Cloudy,0,77.26,Winter,2864
20,1/1/2022,1,20,Hat,Accessories,East,99,30.24,5,Cloudy,0,27.1,Spring,3793
21,1/1/2022,2,1,Coat,Outerwear,South,104,32.8,20,Sunny,1,30.78,Spring,2847
22,1/1/2022,2,2,Hoodie,Outerwear,West,141,46.16,10,Rainy,1,45.21,Winter,2515
23,1/1/2022,2,3,Jacket,Outerwear,East,182,20.46,20,Snowy,1,22,Spring,2350
24,1/1/2022,2,4,Overcoat,Outerwear,West,63,26.19,0,Cloudy,0,28.06,Autumn,2428
25,1/1/2022,2,5,Blazer,Outerwear,West,156,83.29,20,Rainy,0,80.64,Autumn,3332
26,1/1/2022,2,6,Blouse,Clothing,North,250,85.59,20,Cloudy,0,86.82,Winter,3671
27,1/1/2022,2,7,Shirt,Clothing,West,393,91.13,5,Sunny,0,93.33,Summer,2117
