Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality,Holding Cost per Unit,Lead Time (Days),Ordering Cost
1/1/2022,1,1,3,1,231.0,127,55.0,135.47,33.5,20.0,3,0,29.69,3,7.71,5.0,44.98160475
1/1/2022,1,2,3,2,204.0,150,66.0,144.04,63.01,20.0,1,0,66.16,3,5.98,5.0,36.23978081
1/1/2022,1,3,3,4,102.0,65,51.0,74.02,27.99,10.0,1,1,31.32,2,5.81,5.0,30.82337977
1/1/2022,1,4,3,1,469.0,61,164.0,62.18,32.72,10.0,2,1,34.74,3,9.68,2.0,63.29770563
1/1/2022,1,5,3,3,166.0,14,135.0,9.26,73.64,0.0,1,0,68.95,2,11.09,2.0,41.64916561
1/1/2022,1,6,2,2,138.0,128,102.0,139.82,76.83,10.0,1,1,79.35,4,5.03,5.0,35.57975443
1/1/2022,1,7,2,3,359.0,97,167.0,108.92,34.16,10.0,3,1,36.55,4,9.59,2.0,50.56937754
1/1/2022,1,8,2,1,380.0,312,54.0,329.73,97.99,5.0,2,0,100.09,1,8.48,5.0,53.69658275
1/1/2022,1,9,2,4,183.0,175,135.0,174.15,20.74,10.0,2,0,17.66,3,4.06,5.0,68.62528132
1/1/2022,1,10,2,2,108.0,28,196.0,24.47,59.99,0.0,3,1,61.21,4,7.23,2.0,33.90688456
1/1/2022,1,11,2,2,258.0,150,153.0,152.74,58.53,10.0,1,1,61.42,1,8.28,2.0,49.8070764
1/1/2022,1,12,2,4,66.0,24,70.0,26.75,58.25,20.0,4,0,62.21,1,3.35,2.0,42.46844304
1/1/2022,1,13,2,2,96.0,42,85.0,41.46,43.6,0.0,2,0,46.31,1,4.69,2.0,37.39417822
1/1/2022,1,14,1,4,193.0,12,187.0,6.8,78.11,0.0,1,0,80.06,1,4.33,2.0,53.91599915
1/1/2022,1,15,1,1,379.0,369,154.0,363.46,92.99,15.0,4,0,95.8,4,6.25,5.0,33.53970008
1/1/2022,1,16,1,1,363.0,255,69.0,255.74,21.9,5.0,2,1,20.27,3,3.81,5.0,45.54709159
1/1/2022,1,17,1,4,318.0,246,177.0,255.37,21.07,20.0,1,0,16.49,4,2.39,5.0,35.636969
1/1/2022,1,18,1,2,241.0,151,47.0,147.27,19.57,5.0,2,0,23.13,3,2.57,5.0,69.47547746
1/1/2022,1,19,1,3,352.0,257,186.0,267.38,73.28,10.0,2,0,77.26,4,2.67,5.0,59.16028672
1/1/2022,1,20,1,3,274.0,99,166.0,115.23,30.24,5.0,2,0,27.1,1,6.2,2.0,34.63476238
1/1/2022,2,1,3,2,343.0,104,144.0,112.55,32.8,20.0,1,1,30.78,1,14.2,2.0,68.02857226
1/1/2022,2,2,3,4,373.0,141,151.0,135.62,46.16,10.0,3,1,45.21,4,14.85,2.0,32.32334449
1/1/2022,2,3,3,3,445.0,182,119.0,176.31,20.46,20.0,4,1,22.0,1,12.96,5.0,68.79639409
1/1/2022,2,4,3,4,191.0,63,115.0,54.57,26.19,0.0,2,0,28.06,3,7.38,2.0,37.27299869
1/1/2022,2,5,3,4,281.0,156,25.0,150.9,83.29,20.0,3,0,80.64,3,7.62,5.0,47.27780075
1/1/2022,2,6,2,1,492.0,250,168.0,242.57,85.59,20.0,2,0,86.82,4,5.4,5.0,54.47411579
1/1/2022,2,7,2,4,460.0,393,70.0,401.48,91.13,5.0,1,0,93.33,2,6.57,5.0,37.98695129
1/1/2022,2,8,2,4,304.0,29,99.0,35.54,66.96,20.0,4,0,65.36,2,8.09,2.0,54.30179408
