Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality,Holding Cost per Unit,Lead Time (Days),Ordering Cost,DayOfWeek,DayOfMonth,WeekOfYear,Quarter,Predicted_Demand,XGB_Sales_Pred
8/10/2023,1,1,3,2,356,176,172,170.73,89.55,15,4,0,86.89,4,12.65,2,68.02857226,3,10,32,3,116,118.56975
8/10/2023,1,2,3,2,439,191,197,188.74,11.21,5,3,1,11.08,2,12.59,2,36.23978081,3,10,32,3,105,112.91067
8/10/2023,1,3,3,3,357,211,135,209.28,83.41,20,2,1,87.84,1,13.01,5,68.79639409,3,10,32,3,201,190.62608
8/10/2023,1,4,3,4,79,49,175,54.5,17.26,5,3,1,16.09,2,10.94,2,37.27299869,3,10,32,3,49,43.106106
8/10/2023,1,5,3,4,264,77,84,96.69,89.02,5,4,0,92.32,4,14.01,5,47.27780075,3,10,32,3,161,151.72223
8/10/2023,1,6,2,2,349,29,141,33.24,12.66,5,3,1,7.72,3,5.26,2,35.57975443,3,10,32,3,34,21.941746
8/10/2023,1,7,2,3,170,52,111,63.69,14.99,5,3,0,10.67,1,3.2,2,50.56937754,3,10,32,3,37,30.611177
8/10/2023,1,8,2,2,436,207,147,204.58,20.31,20,2,1,16.99,2,4.08,5,31.85801651,3,10,32,3,216,212.22997
8/10/2023,1,9,2,3,59,59,148,64.44,70.74,20,3,0,70.61,3,7.3,2,62.33589392,3,10,32,3,47,40.093796
8/10/2023,1,10,2,2,169,120,140,133.67,59.54,20,2,0,54.77,1,3.45,2,33.90688456,3,10,32,3,68,60.510906
8/10/2023,1,11,2,3,149,105,140,106.09,77.12,0,4,1,74.57,4,5.69,2,66.37281608,3,10,32,3,86,83.86481
8/10/2023,1,12,2,1,160,107,52,122.28,36.75,0,1,1,41.68,3,5.41,5,40.35119926,3,10,32,3,165,155.13612
8/10/2023,1,13,2,3,394,79,122,88.39,87.08,0,3,1,91.84,2,5.26,2,61.00531293,3,10,32,3,88,86.77201
8/10/2023,1,14,1,2,234,181,30,176.44,63.13,0,3,0,60.62,3,6.97,5,65.79309402,3,10,32,3,181,180.65337
8/10/2023,1,15,1,3,147,17,141,34.27,37.83,20,4,0,39.59,1,4.74,2,43.01321323,3,10,32,3,35,32.512737
8/10/2023,1,16,1,3,67,14,45,21.21,33.83,20,3,1,29.32,4,4.26,2,44.27013307,3,10,32,3,32,30.810183
8/10/2023,1,17,1,3,149,37,52,49.97,33.73,5,4,0,31.12,1,3.23,2,62.08787923,3,10,32,3,49,46.439873
8/10/2023,1,18,1,4,330,237,28,245.27,48.83,0,1,0,46.24,3,5.22,5,60.88979077,3,10,32,3,231,218.44804
8/10/2023,1,19,1,3,71,47,64,46.57,88.69,15,1,1,87.09,2,5.63,2,59.16028672,3,10,32,3,58,51.417347
8/10/2023,1,20,1,3,243,74,84,65.03,37.3,5,4,1,34.0,1,3.84,2,34.63476238,3,10,32,3,79,75.09289
8/10/2023,2,1,3,4,157,111,140,115.55,54.15,15,4,1,49.75,2,8.38,2,59.27975767,3,10,32,3,112,107.19258
8/10/2023,2,2,3,2,428,385,156,400.94,12.98,20,2,0,10.87,3,9.18,5,36.23978081,3,10,32,3,356,353.53564
