ds,Store_ID,Product_ID,Actual_Sales,XGB_Sales_Pred
2023-08-10,1,1,176,118.56975
2023-08-10,1,2,191,112.91067
2023-08-10,1,3,211,190.62608
2023-08-10,1,4,49,43.106106
2023-08-10,1,5,77,151.72223
2023-08-10,1,6,29,21.941746
2023-08-10,1,7,52,30.611177
2023-08-10,1,8,207,212.22997
2023-08-10,1,9,59,40.093796
2023-08-10,1,10,120,60.510906
2023-08-10,1,11,105,83.86481
2023-08-10,1,12,107,155.13612
2023-08-10,1,13,79,86.77201
2023-08-10,1,14,181,180.65337
2023-08-10,1,15,17,32.512737
2023-08-10,1,16,14,30.810183
2023-08-10,1,17,37,46.439873
2023-08-10,1,18,237,218.44804
2023-08-10,1,19,47,51.417347
2023-08-10,1,20,74,75.09289
2023-08-10,2,1,111,107.19258
2023-08-10,2,2,385,353.53564
2023-08-10,2,3,82,140.34189
2023-08-10,2,4,58,53.183296
2023-08-10,2,5,37,38.337673
2023-08-10,2,6,272,232.1024
2023-08-10,2,7,200,171.97678
2023-08-10,2,8,168,166.19548
2023-08-10,2,9,65,45.200058
2023-08-10,2,10,272,227.81718
2023-08-10,2,11,52,47.490532
2023-08-10,2,12,244,238.44414
2023-08-10,2,13,314,286.53552
2023-08-10,2,14,223,238.15788
2023-08-10,2,15,367,314.29013
2023-08-10,2,16,21,34.66173
2023-08-10,2,17,223,233.68047
2023-08-10,2,18,87,158.87201
2023-08-10,2,19,399,346.3375
2023-08-10,2,20,45,19.935593
2023-08-10,3,1,28,49.702007
2023-08-10,3,2,295,273.08795
2023-08-10,3,3,65,48.62141
2023-08-10,3,4,179,161.66173
2023-08-10,3,5,51,48.41156
2023-08-10,3,6,16,33.53231
2023-08-10,3,7,274,234.26126
2023-08-10,3,8,28,39.799286
2023-08-10,3,9,74,50.94901
2023-08-10,3,10,51,101.89869
2023-08-10,3,11,29,31.065329
2023-08-10,3,12,36,57.0911
2023-08-10,3,13,155,97.88831
2023-08-10,3,14,287,266.25888
2023-08-10,3,15,95,60.549824
2023-08-10,3,16,217,196.2647
2023-08-10,3,17,292,272.34085
2023-08-10,3,18,105,92.478645
2023-08-10,3,19,19,57.875507
2023-08-10,3,20,155,71.038765
2023-08-10,4,1,212,190.7726
2023-08-10,4,2,153,114.10905
2023-08-10,4,3,403,353.77203
2023-08-10,4,4,49,24.438015
2023-08-10,4,5,145,166.43365
2023-08-10,4,6,129,86.725815
2023-08-10,4,7,145,165.27547
2023-08-10,4,8,184,91.81695
2023-08-10,4,9,59,33.90168
2023-08-10,4,10,71,129.02203
2023-08-10,4,11,15,37.584232
2023-08-10,4,12,1,51.80306
2023-08-10,4,13,8,45.6804
2023-08-10,4,14,145,180.69762
2023-08-10,4,15,251,249.53046
2023-08-10,4,16,60,46.66511
2023-08-10,4,17,52,64.16112
2023-08-10,4,18,186,178.64156
2023-08-10,4,19,15,57.627743
2023-08-10,4,20,142,73.7006
2023-08-10,5,1,408,337.28223
2023-08-10,5,2,179,189.21327
2023-08-10,5,3,459,336.6078
2023-08-10,5,4,63,36.312725
2023-08-10,5,5,211,175.86084
2023-08-10,5,6,12,42.874466
2023-08-10,5,7,28,44.621048
2023-08-10,5,8,24,39.223442
2023-08-10,5,9,8,21.94883
2023-08-10,5,10,58,49.057274
2023-08-10,5,11,243,208.79752
2023-08-10,5,12,206,190.75586
2023-08-10,5,13,70,139.29263
2023-08-10,5,14,41,51.681614
2023-08-10,5,15,97,75.60823
2023-08-10,5,16,31,37.859573
2023-08-10,5,17,201,204.56198
2023-08-10,5,18,54,46.498196
2023-08-10,5,19,16,67.48077
2023-08-10,5,20,49,21.406929
2023-08-11,1,1,90,57.655655
2023-08-11,1,2,48,56.89549
2023-08-11,1,3,60,52.727608
2023-08-11,1,4,30,38.589508
2023-08-11,1,5,59,26.615242
2023-08-11,1,6,179,159.40483
2023-08-11,1,7,49,34.55273
2023-08-11,1,8,49,29.608744
2023-08-11,1,9,66,103.47189
2023-08-11,1,10,42,105.12657
2023-08-11,1,11,97,60.704376
2023-08-11,1,12,183,71.55381
2023-08-11,1,13,197,191.56064
2023-08-11,1,14,125,95.95467
2023-08-11,1,15,78,76.7544
2023-08-11,1,16,64,126.210396
2023-08-11,1,17,126,82.381874
2023-08-11,1,18,52,50.0279
2023-08-11,1,19,24,48.425613
2023-08-11,1,20,143,82.214165
2023-08-11,2,1,97,88.46059
2023-08-11,2,2,70,83.66084
2023-08-11,2,3,29,66.15919
2023-08-11,2,4,213,174.12149
2023-08-11,2,5,403,327.41925
2023-08-11,2,6,44,37.010937
2023-08-11,2,7,50,29.68546
2023-08-11,2,8,188,174.49263
2023-08-11,2,9,58,32.021786
2023-08-11,2,10,290,257.50204
2023-08-11,2,11,209,184.43138
2023-08-11,2,12,59,34.623665
2023-08-11,2,13,124,77.46072
2023-08-11,2,14,255,245.10072
2023-08-11,2,15,67,68.43398
2023-08-11,2,16,97,65.00892
2023-08-11,2,17,96,61.162228
