Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality,Holding Cost per Unit,Lead Time (Days),Ordering Cost,DayOfWeek,DayOfMonth,Demand_t-1,Demand_t-7,RollingMean_7,RollingStd_7,Predicted_Demand_Raw,Predicted_Demand,Absolute_Error,Percentage_Error
2022-01-02,3,1,3,4,277.0,114,40.0,132.41,73.48,10.0,2,0,72.55,3,7.27,5.0,59.27975767,6,2,339.04,135.47,172.59285714285716,100.29395706526653,105.9356,106.0,26.409999999999997,19.94562344233819
2022-01-02,4,1,3,1,144.0,22,45.0,39.12,74.16,15.0,3,0,69.74,3,9.65,2.0,44.98160475,6,2,132.41,112.55,162.10285714285715,110.89998883593056,48.00702,48.0,8.880000000000003,22.699386503067494
2022-01-02,5,1,3,3,223.0,67,53.0,74.8,67.49,5.0,1,0,65.24,4,12.07,5.0,53.94633937,6,2,39.12,161.09,149.7757142857143,115.7222961601239,79.35342,79.0,4.200000000000003,5.614973262032089
2022-01-03,1,1,3,4,154.0,5,189.0,5.36,62.7,20.0,3,0,58.22,4,10.27,2.0,59.27975767,0,3,74.8,286.65,109.59142857142857,108.90958764476332,48.00702,48.0,42.64,795.5223880597014
2022-01-03,2,1,3,1,405.0,96,171.0,100.82,48.08,0.0,3,1,49.4,3,10.73,2.0,44.98160475,0,3,5.36,83.47,112.07,108.41232663616564,105.9356,106.0,5.180000000000007,5.137869470343193
2022-01-03,3,1,3,1,134.0,100,185.0,100.66,82.88,10.0,1,1,86.74,3,11.86,2.0,44.98160475,0,3,100.82,92.94,113.17285714285715,108.224390768176,105.9356,106.0,5.340000000000003,5.304987085237436
2022-01-03,4,1,3,3,175.0,66,140.0,56.84,83.63,15.0,1,0,79.9,2,13.27,2.0,53.94633937,0,3,100.66,339.04,72.85857142857142,42.92599384544345,79.35342,79.0,22.159999999999997,38.986629134412375
2022-01-03,5,1,3,1,159.0,3,145.0,18.12,36.3,0.0,4,0,34.96,4,11.02,2.0,44.98160475,0,3,56.84,132.41,56.53142857142858,37.94679408003241,48.00702,48.0,29.88,164.9006622516556
2022-01-04,1,1,3,2,85.0,58,193.0,52.87,77.88,15.0,2,1,75.99,4,7.01,2.0,68.02857226,1,4,18.12,39.12,58.49571428571429,37.24467382823255,60.830093,61.0,8.130000000000003,15.377340646869687
2022-01-04,2,1,3,1,108.0,83,25.0,85.5,45.49,5.0,1,1,44.33,1,5.79,5.0,44.98160475,1,4,52.87,74.8,60.02428571428571,38.23183745568734,105.9356,106.0,20.5,23.976608187134502
2022-01-04,3,1,3,2,335.0,271,147.0,276.13,81.01,20.0,3,0,83.63,2,5.61,5.0,68.02857226,1,4,85.5,5.36,98.70571428571428,83.67572883003825,269.20044,269.0,7.1299999999999955,2.582117118748414
2022-01-04,4,1,3,2,487.0,145,149.0,154.43,20.39,15.0,1,0,21.17,2,12.03,5.0,68.02857226,1,4,276.13,100.82,106.36428571428571,86.31330080142976,147.37823,147.0,7.430000000000007,4.811241339118051
2022-01-04,5,1,3,1,383.0,195,175.0,214.04,21.71,20.0,3,0,24.12,4,11.84,5.0,44.98160475,1,4,154.43,100.66,122.56142857142856,95.24092597697891,207.35054,207.0,7.039999999999992,3.2891048402167784
2022-01-05,1,1,3,2,238.0,147,37.0,150.27,28.46,20.0,1,1,29.4,4,7.59,5.0,68.02857226,2,5,214.04,56.84,135.90857142857143,90.94544068260036,147.37823,147.0,3.2700000000000102,2.17608305050909
2022-01-05,2,1,3,3,250.0,161,70.0,171.45,56.24,15.0,4,1,60.32,1,5.57,5.0,53.94633937,2,5,150.27,18.12,157.81285714285715,74.89648472264588,147.37823,147.0,24.44999999999999,14.260717410323704
2022-01-05,3,1,3,4,388.0,53,55.0,47.35,93.06,0.0,4,1,88.15,2,6.14,2.0,59.27975767,2,5,171.45,52.87,157.0242857142857,76.20322299770594,60.830093,61.0,13.649999999999999,28.82787750791974
2022-01-05,4,1,3,1,201.0,198,103.0,212.56,57.58,10.0,2,0,58.98,2,11.5,5.0,44.98160475,2,5,47.35,85.5,175.1757142857143,71.30189194711527,207.35054,207.0,5.560000000000002,2.615732028603689
2022-01-05,5,1,3,2,371.0,74,115.0,93.27,40.47,20.0,2,0,40.3,1,7.62,2.0,68.02857226,2,5,212.56,276.13,149.05285714285714,60.88748002512114,79.35342,79.0,14.269999999999996,15.299667631607159
2022-01-06,1,1,3,3,198.0,37,155.0,39.09,91.05,5.0,4,0,87.3,2,13.74,2.0,53.94633937,3,6,93.27,154.43,132.57571428571427,73.49167069746585,48.00702,48.0,8.909999999999997,22.79355333844972
2022-01-06,2,1,3,4,131.0,81,82.0,99.33,28.58,10.0,1,1,30.51,4,5.62,5.0,59.27975767,3,6,39.09,214.04,116.18857142857142,64.54356730885253,79.35342,79.0,20.33,20.46712976945535
2022-01-06,3,1,3,4,223.0,170,89.0,164.48,96.28,15.0,2,1,93.98,2,6.39,5.0,59.27975767,3,6,99.33,150.27,118.21857142857142,66.00114201753667,147.37823,147.0,17.47999999999999,10.62743190661478
2022-01-06,4,1,3,2,185.0,101,69.0,106.55,16.86,20.0,2,0,12.11,3,5.06,5.0,68.02857226,3,6,164.48,171.45,108.94714285714284,61.695163698701045,105.9356,106.0,0.5499999999999972,0.5161895823556989
2022-01-06,5,1,3,4,333.0,195,37.0,213.22,34.92,15.0,3,1,34.3,3,6.05,5.0,59.27975767,3,6,106.55,47.35,132.64285714285714,65.81029800729917,207.35054,207.0,6.219999999999999,2.917174749085451
2022-01-07,1,1,3,1,195.0,107,106.0,117.92,53.99,10.0,1,1,58.8,4,11.38,5.0,44.98160475,4,7,213.22,212.56,119.12285714285711,55.582449182658856,105.9356,106.0,11.920000000000002,10.108548168249662
2022-01-07,2,1,3,4,394.0,150,68.0,153.84,85.79,5.0,4,0,82.42,1,11.09,5.0,59.27975767,4,7,117.92,93.27,127.77571428571429,55.60164591602867,147.37823,147.0,6.840000000000003,4.446177847113886
2022-01-07,3,1,3,1,388.0,39,187.0,49.7,66.68,15.0,3,1,62.1,3,10.58,2.0,44.98160475,4,7,153.84,39.09,129.29142857142855,52.8580452496973,48.00702,48.0,1.7000000000000028,3.420523138833004
2022-01-07,4,1,3,4,164.0,13,190.0,5.38,91.6,20.0,3,0,93.9,4,6.06,2.0,59.27975767,4,7,49.7,99.33,115.87,70.66263675616223,48.00702,48.0,42.62,792.1933085501859
